tanggal,judul,link
2020-12-05,[SALAH] “Pemerintah Kota Surakarta menetapkan lockdown per 10 Desember – 20 Januari 2021”,https://covid19.go.id/p/hoax-buster/salah-pemerintah-kota-surakarta-menetapkan-lockdown-10-desember-20-januari-2021
2020-12-04,"[SALAH] Foto Keadaan Rumah Sakit yang Sepi dari Pasien Covid-19 di Nevada, Amerika Serikat",https://covid19.go.id/p/hoax-buster/salah-foto-keadaan-rumah-sakit-yang-sepi-dari-pasien-covid-19-di-nevada-amerika-serikat
2020-12-04,[SALAH] “tim satgas cov ugm saat ini sangat kuwalahan mengatur tempat untuk isolasi mandiri sivitas UGM”,https://covid19.go.id/p/hoax-buster/salah-tim-satgas-cov-ugm-saat-ini-sangat-kuwalahan-mengatur-tempat-untuk-isolasi-mandiri-sivitas-ugm
2020-12-02,[SALAH] Kandungan Alumunium pada Vaksin Berbahaya bagi Otak,https://covid19.go.id/p/hoax-buster/salah-kandungan-alumunium-pada-vaksin-berbahaya-bagi-otak
2020-11-30,"[SALAH] Perayaan Ulang Tahun, Nike Bagi-bagi Hadiah Sepatu, T-Shirt, dan Masker",https://covid19.go.id/p/hoax-buster/salah-perayaan-ulang-tahun-nike-bagi-bagi-hadiah-sepatu-t-shirt-dan-masker
2020-11-30,[SALAH] Wakil Wali Kota Probolinggo Meninggal Dunia,https://covid19.go.id/p/hoax-buster/salah-wakil-wali-kota-probolinggo-meninggal-dunia
2020-11-29,[SALAH] “Pesan Bupati Situbondo Sebelum Beliau Wafat”,https://covid19.go.id/p/hoax-buster/salah-pesan-bupati-situbondo-sebelum-beliau-wafat
2020-11-28,[SALAH] “KONDISI KRITIS IMAM BESAR POSITIVE KORONA”,https://covid19.go.id/p/hoax-buster/salah-kondisi-kritis-imam-besar-positive-korona
2020-11-28,[SALAH] “Korea Selatan Kelabakan Lihat Warganya Meninggal Satu Persatu Usai Disuntik Vaksin”,https://covid19.go.id/p/hoax-buster/salah-korea-selatan-kelabakan-lihat-warganya-meninggal-satu-persatu-usai-disuntik-vaksin
2020-11-28,[SALAH] Vaksin Covid-19 berbasis mRNA Dapat Mengubah DNA Manusia,https://covid19.go.id/p/hoax-buster/salah-vaksin-covid-19-berbasis-mrna-dapat-mengubah-dna-manusia
2020-11-27,"[SALAH] Kebijakan Ticketmaster, Wajibkan Vaksin Covid-19 Sebelum Menghadiri Konser",https://covid19.go.id/p/hoax-buster/salah-kebijakan-ticketmaster-wajibkan-vaksin-covid-19-sebelum-menghadiri-konser
2020-11-26,[SALAH] Video Keramaian Stasiun Kereta Api di India Selama Pandemi COVID-19,https://covid19.go.id/p/hoax-buster/salah-video-keramaian-stasiun-kereta-api-di-india-selama-pandemi-covid-19
2020-11-26,[SALAH] Akun Facebook Wakil Bupati Probolinggo Meminta Sejumlah Dana,https://covid19.go.id/p/hoax-buster/salah-akun-facebook-wakil-bupati-probolinggo-meminta-sejumlah-dana
2020-11-26,[SALAH] COVID-19 adalah Akronim dari “Certification Of Vaccination Identification 2019” dan Penanaman Barcode Implan di Wuhan pada Tahun 2019,https://covid19.go.id/p/hoax-buster/salah-covid-19-adalah-akronim-dari-certification-vaccination-identification-2019-dan-penanaman-barcode-implan-di-wuhan-pada-tahun-2019
2020-11-24,[SALAH] Air Rebusan Bawang Putih Dapat Menyembuhkan COVID-19,https://covid19.go.id/p/hoax-buster/salah-air-rebusan-bawang-putih-dapat-menyembuhkan-covid-19
2020-11-24,[SALAH] Foto “Viral! Beredar Foto Anies Jenguk Rizieq yang Positif Covid-19”,https://covid19.go.id/p/hoax-buster/salah-foto-viral-beredar-foto-anies-jenguk-rizieq-yang-positif-covid-19
2020-11-24,[SALAH] Test Swab COVID-19 dapat Menyebabkan Lapisan Otak Pecah dan Pendarahan Hingga Kematian dan Pernah Terjadi di Kanada,https://covid19.go.id/p/hoax-buster/salah-test-swab-covid-19-dapat-menyebabkan-lapisan-otak-pecah-dan-pendarahan-hingga-kematian-dan-pernah-terjadi-di-kanada
2020-11-24,[SALAH] Video Biden Merayakan Ulang Tahun Tanpa Masker,https://covid19.go.id/p/hoax-buster/salah-video-biden-merayakan-ulang-tahun-tanpa-masker
2020-11-23,[SALAH] Corona Adalah Kedok dari Penyakit Radiasi,https://covid19.go.id/p/hoax-buster/salah-corona-adalah-kedok-dari-penyakit-radiasi
